name,radar_an,radar_an2,radar_m0,radar_per,nobrak,vis_an,vis_an2,vis_swh1,vis_swh2,vis_per1,vis_per2,vis_len1,vis_len2,radar_an3,lat_radar,lon_radar,speed,sat_swh,hdg,dir_std,wind_speed
22-11-25_16-55,125,125,0.160834378267698,53.3333333333333,1,330,80,2,1,10.6,6,93,30,95.7004462317491,27.0526930536105,-19.2462807689067,5.156125,,23.8,125,9.53006935119629
22-11-26_08-04,341,341,0.324581697517936,inf,1,330,,1.8,,9.8,,83,,120.823756879254,29.2693060322976,-18.2412812694773,5.03777083333333,2.423,56.9,300,10.5196962356567
22-11-26_11-57,349,349,0.288373103005095,106.666666666667,1,330,190,1.7,0.9,11.4,4.5,94,7.6,50.6903426606606,29.6281537057304,-17.6304650415647,5.187,2.18,58.8,322,8.81256866455078
22-11-26_16-49,353,353,0.179436948312423,20,1,330,,1.6,,11.2,,92,,129.484205537433,30.0610481554443,-16.8351688901332,5.73503125,,58.4,214,6.71868515014648
22-11-27_07-53,354,354,0.311124830794292,320,1,45,90,1.1,1.1,5.5,4.3,13.5,10.4,72.3387760973944,31.7772899584401,-13.7509749620794,6.6535625,1.242,55.8,185,11.881175994873
22-11-27_10-58,355,355,1.84324060365408,213.333333333333,1,74,,1.2,,3.7,,7.8,,46.6690699390667,32.1299974817275,-13.1068182689549,6.4683125,1.343,54.8,131,12.2977504730225
22-11-27_16-58,322,322,0.344583547166686,213.333333333333,1,80,,1.3,,4.5,,11,,166.524383324699,32.7828016366948,-11.9149634342886,4.38682291666667,1.331,54,114,12.0557804107666
22-11-28_07-56,323,323,1.48786911129604,213.333333333333,1,154,,1.9,,4.7,,11.8,,151.705976866147,33.933694244573,-9.78749500726108,4.03433333333333,3.504,57.9,277,16.2626934051514
22-11-28_12-57,310,310,0.328371616422127,16.8421052631579,1,295,149,2.8,1.5,13.8,4.3,136,9.8,117.027651993983,34.345107820284,-9.01944388895187,4.90397916666667,,54.8,348,13.3362483978271
22-11-28_17-54,321,321,0.756279558571773,160,1,280,140,2.9,1.7,13,4.9,112,11.8,65.1762055690984,34.7773569516869,-8.2093127712462,4.87310416666667,3.143,54.9,148,14.5380525588989
22-11-29_11-56,220,220,0.196651562040098,53.3333333333333,,< 0.3,,0.3,,,,,,34.3963184441193,36.0129039434218,-4.80053273385469,5.62439583333333,0.728,83.8,222,0.609799802303314
22-11-29_15-53,177,177,0.328318484382805,42.6666666666667,,< 0.3,,0.3,,,,,,56.5293465916683,36.1214445660301,-3.8902605855761,5.89197916666667,,76,162,3.1895809173584
22-11-30_07-56,169,169,0.0925756392944138,53.3333333333333,1,17,,0.4,,5.3,,12,,124.521919142772,36.6315934882899,-0.322467138577668,5.03777083333333,0.654,68.8,211,3.87758779525757
22-11-30_10-56,322,322,0.0599204030609735,80,,< 0.3,,0.3,,,,,,146.274807624217,36.8078262354467,0.234570182369511,5.05320833333333,0.811,71.6,322,6.54255676269531
22-11-30_16-58,275,275,0.389049400278398,42.6666666666667,,30,,0.7,,8.5,,25,,30.1019779667676,37.1648132102423,1.42460070086107,5.434,0.601,66,194,1.88560724258423
22-12-01_07-11,182,182,0.630979002840496,213.333333333333,1,25,,0.8,,6.5,,18,,83.2582297286922,37.8820840897857,3.82291165442725,4.54891666666667,0.972,69.8,80,11.7207317352295
22-12-01_09-55,11,11,0.105021532494726,40,,18,,0.7,,5.9,,16.4,,83.4217908352305,38.0273445989455,4.30981564452827,4.8165,1.117,70.9,45,9.73994731903076
22-12-01_14-54,32,32,0.109876965676848,23.7037037037037,,15,335,0.8,0.7,6.3,6.5,14,30,110.625601598865,38.090539154132,5.32869187519292,5.08408333333333,0.983,88.8,248,0
22-12-02_06-57,6,6,0.0600630520605712,32,,< 0.3,,0.3,,,,,,44.0507085462349,38.0738189871435,8.58137402289216,5.34652083333333,,92.5,294,9.16347885131836
22-12-02_10-52,178,178,0.0840672266715286,10.4918032786885,,110,,1,,6.2,,18.4,,42.9807503672579,38.0737087785866,9.46457007417691,5.52147916666667,,94,305,9.78205108642578
22-12-02_15-58,171,171,0.137255370474924,160,1,209,,1.6,,6,,17,,57.7017755853677,37.9921492775539,10.4784951568615,4.65183333333333,1.601,160.8,171,15.8599262237549
22-12-03_06-55,176,176,0.340110090976232,213.333333333333,1,180,,2.4,,6,,23,,130.610309911524,36.6437216155939,12.5899984987728,4.19642708333333,,131.8,357,19.0397987365723
22-12-03_10-55,124,124,0.272573507304991,80,1,216,,3.2,,8,,28,,135.016119432032,36.3309993146284,13.0726942829879,3.49916666666667,,134.8,200,18.2274398803711
22-12-03_15-27,126,126,0.260584074012336,71.1111111111111,1,236,,3.2,,7,,29,,131.030584711253,35.9947186627977,13.5934389819714,4.07292708333333,1.844,134,317,14.9785470962524
